run,id,scope,schema,semantic,engine,joint,latency_ms,failed_assertions
qwen-baseline,core-24-2,core,true,false,true,false,2492,visualization|progressValue
qwen-baseline,core-24-3,core,false,false,true,false,2205,visualization|progressValue|actionLabel
qwen-baseline,core-25-1,core,false,true,true,false,2456,
qwen-baseline,core-25-2,core,false,true,true,false,2322,
qwen-baseline,core-25-3,core,false,true,true,false,2693,
qwen-baseline,core-26-1,core,false,false,true,false,2211,unit|state
qwen-baseline,core-26-3,core,false,false,true,false,2346,unit|state|actionLabel
qwen-baseline,core-26-2,core,false,false,true,false,2648,unit|state
qwen-baseline,core-27-1,core,false,true,true,false,2262,
qwen-baseline,core-27-2,core,false,true,true,false,3198,
qwen-baseline,core-27-3,core,false,false,true,false,2264,actionLabel
qwen-baseline,core-28-2,core,true,true,true,true,2140,
qwen-baseline,core-28-1,core,false,true,true,false,5245,
qwen-baseline,core-28-3,core,false,false,true,false,2318,visualization|actionLabel
qwen-baseline,core-29-1,core,true,true,true,true,2120,
qwen-baseline,core-29-2,core,true,true,true,true,2148,
qwen-baseline,core-30-1,core,false,false,true,false,2185,domain|unit|state
qwen-baseline,core-29-3,core,true,true,true,true,5235,
qwen-baseline,core-30-2,core,false,false,true,false,3249,domain|unit|state
qwen-baseline,core-31-1,core,false,false,true,false,2117,unit
qwen-baseline,core-30-3,core,false,false,true,false,3087,value|state|actionLabel
qwen-baseline,core-31-2,core,false,false,true,false,2136,unit
qwen-baseline,core-31-3,core,false,false,true,false,3070,unit|actionLabel
qwen-baseline,core-32-1,core,true,false,true,false,3143,visualization|progressValue
qwen-baseline,core-32-2,core,true,false,true,false,2420,visualization|progressValue
qwen-baseline,core-33-1,core,false,true,true,false,3130,
qwen-baseline,core-32-3,core,true,false,true,false,4846,visualization|progressValue|actionLabel
qwen-baseline,core-33-2,core,false,true,true,false,2868,
qwen-baseline,core-33-3,core,false,false,true,false,2513,actionLabel
qwen-baseline,core-34-1,core,false,true,true,false,2384,
qwen-baseline,core-34-3,core,false,false,true,false,2891,actionLabel
qwen-baseline,core-34-2,core,false,true,true,false,5380,
qwen-baseline,core-35-1,core,false,false,true,false,2420,visualization|unit|state
qwen-baseline,core-35-2,core,false,false,true,false,2749,visualization|unit|state
qwen-baseline,core-35-3,core,false,false,true,false,3159,visualization|unit|state|actionLabel
qwen-baseline,core-36-1,core,false,true,true,false,2243,
qwen-baseline,core-36-2,core,false,true,true,false,2865,
qwen-baseline,core-36-3,core,false,false,true,false,2697,actionLabel
qwen-baseline,core-37-1,core,false,true,true,false,3150,
qwen-baseline,core-37-2,core,false,true,true,false,5241,
qwen-baseline,core-37-3,core,false,false,true,false,2217,actionLabel
qwen-baseline,core-38-1,core,false,false,true,false,2736,domain
qwen-baseline,core-38-2,core,false,true,true,false,2908,
qwen-baseline,core-39-1,core,false,false,true,false,2131,unit
qwen-baseline,core-38-3,core,false,true,true,false,3195,
qwen-baseline,core-39-2,core,false,false,true,false,2516,unit
qwen-baseline,core-39-3,core,false,false,true,false,2129,unit|actionLabel
qwen-baseline,core-40-2,core,false,true,true,false,2710,
qwen-baseline,core-40-1,core,false,true,true,false,3270,
qwen-baseline,core-40-3,core,false,false,true,false,2404,visualization|actionLabel
qwen-baseline,boundary-01,boundary,false,,true,,3161,
qwen-baseline,boundary-03,boundary,false,,true,,3221,
qwen-baseline,boundary-04,boundary,false,,true,,2040,
qwen-baseline,boundary-05,boundary,false,,true,,2348,
qwen-baseline,boundary-02,boundary,false,,false,,8751,
qwen-baseline,boundary-07,boundary,false,,true,,3464,
qwen-baseline,boundary-06,boundary,false,,true,,5292,
qwen-baseline,boundary-08,boundary,false,,true,,3129,
qwen-baseline,boundary-09,boundary,false,,true,,2207,
qwen-baseline,boundary-10,boundary,true,,true,,2605,
qwen-baseline,boundary-11,boundary,false,,true,,2266,
qwen-baseline,boundary-12,boundary,true,,true,,2297,
qwen-explicit-v1,core-01-2,core,true,true,true,true,2406,
qwen-explicit-v1,core-01-1,core,true,true,true,true,2458,
qwen-explicit-v1,core-02-1,core,true,false,true,false,2073,visualization|progressValue
qwen-explicit-v1,core-01-3,core,true,false,true,false,2281,visualization|progressValue
qwen-explicit-v1,core-02-2,core,true,false,true,false,2538,visualization|progressValue
qwen-explicit-v1,core-02-3,core,true,false,true,false,2540,visualization|progressValue|actionLabel
qwen-explicit-v1,core-03-1,core,true,false,true,false,2568,visualization|progressValue
qwen-explicit-v1,core-03-2,core,true,false,true,false,2666,visualization|progressValue
qwen-explicit-v1,core-03-3,core,true,false,true,false,2597,visualization|progressValue
qwen-explicit-v1,core-04-1,core,true,false,true,false,2477,visualization
qwen-explicit-v1,core-04-2,core,true,false,true,false,2461,visualization
qwen-explicit-v1,core-04-3,core,true,false,true,false,2513,visualization
qwen-explicit-v1,core-05-1,core,true,true,true,true,2111,
qwen-explicit-v1,core-05-2,core,true,true,true,true,2223,
qwen-explicit-v1,core-05-3,core,true,false,true,false,2224,actionLabel
qwen-explicit-v1,core-06-1,core,true,true,true,true,2048,
qwen-explicit-v1,core-06-2,core,true,true,true,true,2366,
qwen-explicit-v1,core-06-3,core,true,true,true,true,2600,
qwen-explicit-v1,core-07-1,core,true,false,true,false,2475,value
qwen-explicit-v1,core-07-2,core,true,false,true,false,2437,value
qwen-explicit-v1,core-07-3,core,true,false,true,false,2239,value
qwen-explicit-v1,core-08-1,core,true,false,true,false,2112,visualization|progressValue
qwen-explicit-v1,core-08-2,core,true,false,true,false,2260,visualization|progressValue
qwen-explicit-v1,core-08-3,core,true,false,true,false,2452,visualization|progressValue
qwen-explicit-v1,core-09-1,core,true,true,true,true,2143,
qwen-explicit-v1,core-09-2,core,true,true,true,true,2113,
qwen-explicit-v1,core-10-1,core,true,true,true,true,2172,
qwen-explicit-v1,core-09-3,core,true,true,true,true,2549,
qwen-explicit-v1,core-10-3,core,true,true,true,true,2657,
qwen-explicit-v1,core-10-2,core,true,true,true,true,2661,
qwen-explicit-v1,core-11-1,core,true,true,true,true,2209,
qwen-explicit-v1,core-11-2,core,true,true,true,true,2563,
qwen-explicit-v1,core-11-3,core,true,false,true,false,2153,actionLabel
qwen-explicit-v1,core-12-1,core,true,true,true,true,2424,
qwen-explicit-v1,core-12-2,core,true,true,true,true,2320,
qwen-explicit-v1,core-12-3,core,false,false,true,false,2279,actionLabel
qwen-explicit-v1,core-13-1,core,true,false,true,false,2523,visualization|progressValue
qwen-explicit-v1,core-13-2,core,true,false,true,false,2552,visualization|progressValue
qwen-explicit-v1,core-13-3,core,true,false,true,false,2189,visualization|progressValue|actionLabel
qwen-explicit-v1,core-14-1,core,true,true,true,true,2403,
qwen-explicit-v1,core-14-2,core,true,true,true,true,2389,
qwen-explicit-v1,core-14-3,core,true,true,true,true,2282,
qwen-explicit-v1,core-15-1,core,true,true,true,true,2268,
qwen-explicit-v1,core-15-2,core,true,true,true,true,2182,
qwen-explicit-v1,core-15-3,core,true,false,true,false,2576,actionLabel
qwen-explicit-v1,core-16-1,core,true,true,true,true,2611,
qwen-explicit-v1,core-16-3,core,true,true,true,true,2679,
qwen-explicit-v1,core-16-2,core,true,true,true,true,3604,
qwen-explicit-v1,core-17-1,core,true,true,true,true,2618,
qwen-explicit-v1,core-17-2,core,true,true,true,true,3117,
qwen-explicit-v1,core-17-3,core,true,true,true,true,2785,
qwen-explicit-v1,core-18-1,core,true,true,true,true,2214,
qwen-explicit-v1,core-18-3,core,true,true,true,true,2178,
qwen-explicit-v1,core-18-2,core,true,true,true,true,3167,
qwen-explicit-v1,core-19-1,core,true,true,true,true,2181,
qwen-explicit-v1,core-19-2,core,true,true,true,true,2380,
qwen-explicit-v1,core-19-3,core,true,true,true,true,2206,
qwen-explicit-v1,core-20-1,core,true,true,true,true,2314,
qwen-explicit-v1,core-20-2,core,true,true,true,true,2765,
qwen-explicit-v1,core-20-3,core,true,true,true,true,2223,
qwen-explicit-v1,core-21-1,core,true,false,true,false,2434,visualization|progressValue
qwen-explicit-v1,core-21-2,core,true,false,true,false,2357,visualization|progressValue
qwen-explicit-v1,core-21-3,core,true,false,true,false,2023,visualization|progressValue
qwen-explicit-v1,core-22-1,core,true,true,true,true,2084,
qwen-explicit-v1,core-22-2,core,true,true,true,true,2490,
qwen-explicit-v1,core-22-3,core,true,true,true,true,2513,
qwen-explicit-v1,core-23-1,core,true,true,true,true,2863,
qwen-explicit-v1,core-23-2,core,true,true,true,true,3508,
qwen-explicit-v1,core-23-3,core,true,true,true,true,2338,
qwen-explicit-v1,core-24-1,core,false,false,true,false,2171,visualization|progressValue
qwen-explicit-v1,core-24-2,core,false,false,true,false,2628,visualization|progressValue
qwen-explicit-v1,core-24-3,core,true,false,true,false,2213,visualization|progressValue
qwen-explicit-v1,core-25-1,core,true,true,true,true,2797,
qwen-explicit-v1,core-25-2,core,true,true,true,true,2322,
qwen-explicit-v1,core-26-1,core,true,false,true,false,2264,state
qwen-explicit-v1,core-25-3,core,true,true,true,true,2497,
qwen-explicit-v1,core-26-3,core,true,false,true,false,2188,state|actionLabel
qwen-explicit-v1,core-26-2,core,true,true,true,true,2272,
qwen-explicit-v1,core-27-1,core,true,false,true,false,2573,unit
qwen-explicit-v1,core-27-2,core,true,false,true,false,2637,unit
qwen-explicit-v1,core-27-3,core,true,false,true,false,2232,unit
qwen-explicit-v1,core-28-1,core,true,true,true,true,6187,
qwen-explicit-v1,core-28-2,core,true,true,true,true,4158,
qwen-explicit-v1,core-29-1,core,true,true,true,true,2249,
qwen-explicit-v1,core-28-3,core,true,true,true,true,4108,
qwen-explicit-v1,core-29-2,core,true,true,true,true,2029,
qwen-explicit-v1,core-29-3,core,true,true,true,true,2159,
qwen-explicit-v1,core-30-1,core,true,false,true,false,2238,unit
qwen-explicit-v1,core-30-2,core,true,false,true,false,2228,unit
qwen-explicit-v1,core-30-3,core,true,false,true,false,2611,unit|state|actionLabel
qwen-explicit-v1,core-31-1,core,true,true,true,true,2411,
qwen-explicit-v1,core-31-2,core,true,true,true,true,2342,
qwen-explicit-v1,core-31-3,core,true,false,true,false,2565,actionLabel
qwen-explicit-v1,core-32-1,core,true,false,true,false,2511,visualization|progressValue
qwen-explicit-v1,core-32-2,core,true,false,true,false,2138,visualization|progressValue
qwen-explicit-v1,core-32-3,core,true,false,true,false,2159,visualization|progressValue
qwen-explicit-v1,core-33-1,core,true,true,true,true,2575,
qwen-explicit-v1,core-33-2,core,true,true,true,true,2605,
qwen-explicit-v1,core-33-3,core,true,true,true,true,2646,
qwen-explicit-v1,core-34-1,core,true,true,true,true,2559,
qwen-explicit-v1,core-34-2,core,true,true,true,true,2752,
qwen-explicit-v1,core-34-3,core,true,false,true,false,2245,actionLabel
qwen-explicit-v1,core-35-1,core,true,true,true,true,2042,
qwen-explicit-v1,core-35-2,core,true,true,true,true,2416,
qwen-explicit-v1,core-35-3,core,true,false,true,false,2606,actionLabel
qwen-explicit-v1,core-36-1,core,false,false,true,false,2634,domain
qwen-explicit-v1,core-36-2,core,true,false,true,false,2539,domain
qwen-explicit-v1,core-36-3,core,false,false,true,false,2684,domain
qwen-explicit-v1,core-37-1,core,true,true,true,true,2460,
qwen-explicit-v1,core-37-2,core,true,true,true,true,2262,
qwen-explicit-v1,core-37-3,core,true,true,true,true,2239,
qwen-explicit-v1,core-38-1,core,false,false,true,false,2465,domain
qwen-explicit-v1,core-38-2,core,false,true,true,false,2061,
qwen-explicit-v1,core-38-3,core,false,true,true,false,2526,
qwen-explicit-v1,core-39-1,core,true,false,true,false,2122,unit
qwen-explicit-v1,core-39-3,core,true,false,true,false,2030,unit
qwen-explicit-v1,core-39-2,core,true,false,true,false,4258,unit
qwen-explicit-v1,core-40-1,core,true,false,true,false,2336,domain
qwen-explicit-v1,core-40-2,core,true,false,true,false,2347,domain
qwen-explicit-v1,core-40-3,core,true,false,true,false,2431,domain|actionLabel
qwen-explicit-v1,boundary-01,boundary,false,,true,,4069,
qwen-explicit-v1,boundary-03,boundary,true,,true,,2082,
qwen-explicit-v1,boundary-04,boundary,true,,true,,2516,
qwen-explicit-v1,boundary-05,boundary,true,,true,,2485,
qwen-explicit-v1,boundary-02,boundary,false,,false,,12645,
qwen-explicit-v1,boundary-06,boundary,true,,true,,3464,
qwen-explicit-v1,boundary-08,boundary,true,,true,,2197,
qwen-explicit-v1,boundary-07,boundary,true,,true,,3549,
qwen-explicit-v1,boundary-10,boundary,true,,true,,2241,
qwen-explicit-v1,boundary-09,boundary,false,,true,,3727,
qwen-explicit-v1,boundary-11,boundary,true,,true,,2388,
qwen-explicit-v1,boundary-12,boundary,true,,true,,3445,
